,created_at,text
151,Mon Apr 06 22:28:38 PDT 2009,hero just be not do -PRON- for -PRON- this season
152,Mon Apr 06 22:28:45 PDT 2009,live not downtown sure be not much fun
153,Mon Apr 06 22:28:48 PDT 2009,not calorie wise    i wish junk food be calorie free   i eat a thing of sour skittle and a big ass cherry coke
154,Mon Apr 06 22:28:51 PDT 2009,
155,Mon Apr 06 22:30:34 PDT 2009,get sick   time for some hot tea   study   and then sleeeep
156,Mon Apr 06 22:30:34 PDT 2009,get eyebrow wax   more pain
157,Mon Apr 06 22:30:45 PDT 2009,no phantasy star yesterday   go to work
158,Mon Apr 06 22:30:50 PDT 2009,oh    just get all -PRON- macheist      app    sweet   do not get the espresso serial no though although -PRON- say -PRON- send -PRON-    oh well
159,Mon Apr 06 22:30:54 PDT 2009,pick mich st to win -PRON- all from the get go    be feel pretty good about that pick all the way up until       tonight    a s lose too
160,Mon Apr 06 22:30:55 PDT 2009,be alone downstairs    work
161,Mon Apr 06 22:30:56 PDT 2009,i feel bad for do -PRON-
162,Mon Apr 06 22:31:05 PDT 2009,be -PRON- just -PRON-   or -PRON- hat anoop   i mean seriously   -PRON- s kinda mean to -PRON-
163,Mon Apr 06 22:31:09 PDT 2009,yes sprint have   g only in baltimore and chicago so far
164,Mon Apr 06 22:31:15 PDT 2009,i m stick awake in the middle of the night for the second day in a row   and i feel terrible yesterday
165,Mon Apr 06 22:31:18 PDT 2009,thank for burst -PRON- bubble
166,Mon Apr 06 22:31:29 PDT 2009,go to school soon     can not find anything to wear    gosh -PRON- s so hard
167,Mon Apr 06 22:31:31 PDT 2009,i be serious   lol
168,Mon Apr 06 22:31:37 PDT 2009,i have on -PRON- page for sooooo long     until -PRON- get delete   sad day in history
169,Mon Apr 06 22:31:35 PDT 2009,crazy wind today    no bird
170,Mon Apr 06 22:31:40 PDT 2009,
171,Mon Apr 06 22:31:41 PDT 2009,grrr    -PRON- ipod act weird too   jai ho and think of -PRON- be not play the full song    ughh
172,Mon Apr 06 22:31:43 PDT 2009,send -PRON- the dvd cos i have miss out on heap   not happy about that
173,Mon Apr 06 22:31:45 PDT 2009,i do not see the big deal with this website
174,Mon Apr 06 22:31:48 PDT 2009,i m so sorry -PRON- re have to go through this   again     therapyfail
175,Mon Apr 06 22:31:50 PDT 2009,far too out of the way for rail    any other tip
176,Mon Apr 06 22:31:54 PDT 2009,i m not still up i swear   why do i keep lose   gain   lose   gain   tweep    so heawrench
177,Mon Apr 06 22:31:56 PDT 2009,today i realize i be too good at hide thing   even i can not find -PRON-
178,Mon Apr 06 22:31:57 PDT 2009,stay at a friend house    house sit   neighbor be so loud have a party
179,Mon Apr 06 22:31:59 PDT 2009,danny -PRON- be upset that i be not here to watch the live chat   i be in a car   for    hour on a trip -PRON- be soooo upset
180,Mon Apr 06 22:32:02 PDT 2009,check out -PRON- mug
181,Mon Apr 06 22:32:06 PDT 2009,
182,Mon Apr 06 22:32:12 PDT 2009,download nin s new album   the slip     when the hell do this come out   i m so behind the time these day
183,Mon Apr 06 22:32:16 PDT 2009,just wake up an already have write some e mail     i ve to go early at university today as i have to teach at       be
184,Mon Apr 06 22:32:20 PDT 2009,be watch the hill       and -PRON- make -PRON- sad
185,Mon Apr 06 22:32:22 PDT 2009,so many channel      yet so so boring     lazy day again   may have to find a hobby
186,Mon Apr 06 22:32:23 PDT 2009,i miss -PRON- buddy   ill be in ny on the    th
187,Mon Apr 06 22:32:28 PDT 2009,love the french   i tell people here in the south i m qtr   french and -PRON- snarl at -PRON-    french be beautiful people
188,Mon Apr 06 22:32:28 PDT 2009,opp    as i say    i still get one day remain and now problem come
189,Mon Apr 06 22:32:30 PDT 2009,i activate -PRON- selfcontrol block early   mean i can not check out the new qc    regularize -PRON- internal clock be may be difficult    fb
190,Mon Apr 06 22:32:31 PDT 2009,
191,Mon Apr 06 22:32:36 PDT 2009,spencer be not a good guy
192,Mon Apr 06 22:32:35 PDT 2009,what about reese die on   ttsc   and season finale next week        boring   madame president be a crazy woman
193,Mon Apr 06 22:32:38 PDT 2009,i hate the limit letter too hope -PRON- and the guy be fine i pray for -PRON- dog -PRON-    s not well
194,Mon Apr 06 22:32:40 PDT 2009,do not get shit do today    i m so screw
195,Mon Apr 06 22:32:50 PDT 2009,
196,Mon Apr 06 22:32:51 PDT 2009,be not go to sleep tonite
197,Mon Apr 06 22:32:54 PDT 2009,too worried and tired to post tonight
198,Mon Apr 06 22:32:58 PDT 2009,could not get shit do today    i m so screw
199,Mon Apr 06 22:33:00 PDT 2009,job interview in cardiff today   wish -PRON- luck   get about    hour sleep
200,Mon Apr 06 22:33:01 PDT 2009,-PRON- show be whack   way bad than whack   -PRON- s wiggety whack
201,Mon Apr 06 22:33:11 PDT 2009,i really do not think people choose to be that way   but i think -PRON- choose not to accept -PRON- family s help    -PRON- may be dead by now
202,Mon Apr 06 22:33:13 PDT 2009,-PRON- re go to kill -PRON-   but i ve not see ds    i ve be wait till i can do -PRON- in one solid week sit
203,Mon Apr 06 22:33:13 PDT 2009,i think ur right    hahaha        hrs now
204,Mon Apr 06 22:33:16 PDT 2009,i hate to see the spartan so sad
205,Mon Apr 06 22:33:20 PDT 2009,-PRON- mind and body be severely protest this   get up    thing   have nightmare to boot
206,Mon Apr 06 22:33:21 PDT 2009,i m go   to follow u   since u do not   lol   go angel
207,Mon Apr 06 22:33:25 PDT 2009,
208,Mon Apr 06 22:33:31 PDT 2009,i think i want to read some book but the library do not have -PRON-
209,Mon Apr 06 22:33:32 PDT 2009,-PRON- nap be interrupt so many time today   go out for japanese with the   rent again
210,Mon Apr 06 22:33:32 PDT 2009,kind of long for the bus that show up at the end of ghost world right now   ugh
211,Mon Apr 06 22:33:34 PDT 2009,but this be canada   canada be weird   -PRON- re suppose to get snow through wednesday   ugh
212,Mon Apr 06 22:33:35 PDT 2009,awwh bab     -PRON- look so sad underneith that shop entrance of   yesterday s musik    o    i like the look of the new transformer movie
213,Mon Apr 06 22:33:35 PDT 2009,sad that the   foot   of -PRON- macbook just fall off
214,Mon Apr 06 22:33:44 PDT 2009,i m go to get up late tomorrow and -PRON- s     be here   i go to get tipsy by -PRON- lonesome   that s    that s just sad
215,Mon Apr 06 22:35:29 PDT 2009,i m sweat -PRON- forthcoming trip to e     if i can not find someone to crash with while i m out there   i may be screw
216,Mon Apr 06 22:35:29 PDT 2009,have now get somebody to read -PRON- tweet   but can not get -PRON- to make an account
217,Mon Apr 06 22:35:31 PDT 2009,omgawd i could not handle -PRON- cat be in heat all the time d   d
218,Mon Apr 06 22:35:31 PDT 2009,i hope i can make -PRON- to the auburn show   but -PRON- not look good for -PRON-
219,Mon Apr 06 22:35:35 PDT 2009,that s people mag haha i could not fit -PRON- all in    i do not think those picture ever make -PRON- in the magazine tho    haha
220,Mon Apr 06 22:35:36 PDT 2009,congrat     i totally forget to submit photo
221,Mon Apr 06 22:35:40 PDT 2009,awww   good luck paula    please do not work too hard   but i hope -PRON- have fun   -PRON- new album be go to be amazing    xxx
222,Mon Apr 06 22:35:40 PDT 2009,now -PRON- leave -PRON-         get sad
223,Mon Apr 06 22:35:41 PDT 2009,i miss -PRON- twitter   -PRON- phone break   now i m use a stupid nokia phone   ughhh   i miss -PRON- advance phone
224,Mon Apr 06 22:35:43 PDT 2009,shoot outside -PRON- house   o not kid   so scared
225,Mon Apr 06 22:35:44 PDT 2009,tuesday    will stawith reflection     n then a lecture in stress reduce technique   that sure may become very useful for -PRON- accompanier
226,Mon Apr 06 22:35:46 PDT 2009,what tragedy and disaster in the news this week
227,Mon Apr 06 22:35:46 PDT 2009,yes yes still try to find a picture that will upload correclty
228,Mon Apr 06 22:35:51 PDT 2009,why oh why be the red sox game rain out   i be so look forward to opening day
229,Mon Apr 06 22:35:50 PDT 2009,i still can not find -PRON- key
230,Mon Apr 06 22:35:50 PDT 2009,i know right   i dunno what be go on with twitter
231,Mon Apr 06 22:35:50 PDT 2009,may be get a sore throat again
232,Mon Apr 06 22:35:51 PDT 2009,-PRON- home town   -PRON- mammy call all depressd    pls explain y a parent let -PRON-   yr old child walk alone   hello   -PRON-
233,Mon Apr 06 22:35:51 PDT 2009,i think i need to find good anti depressant    i think this paxil wellbutrin combo be lose -PRON- efficacy
234,Mon Apr 06 22:35:52 PDT 2009,restaurant call woodntap have competitive eat tourney round tourney time   -PRON- place   nd
235,Mon Apr 06 22:35:56 PDT 2009,be in the bathroom     wake up lakin
236,Mon Apr 06 22:35:59 PDT 2009,i want taco and margarhita   telll gay i say hello
237,Mon Apr 06 22:35:59 PDT 2009,-PRON- be lonely   keep -PRON- company      female   california
238,Mon Apr 06 22:36:02 PDT 2009,bad day at the betfair office
239,Mon Apr 06 22:36:03 PDT 2009,i miss -PRON-    can not wait to celebrate the tar heel win this weekend though
240,Mon Apr 06 22:36:06 PDT 2009,i m really cold   i do not want to go to sleep yet but there s nothing to do
241,Mon Apr 06 22:36:06 PDT 2009,be this -PRON-    u   -PRON-    officially over      -PRON- this go round
242,Mon Apr 06 22:36:10 PDT 2009,monkey     i just find out -PRON- -PRON- twin and -PRON- will not even write back    i m heartbroken
243,Mon Apr 06 22:36:15 PDT 2009,aww   i know i feel like that yesterday at work
244,Mon Apr 06 22:36:16 PDT 2009,
245,Mon Apr 06 22:36:19 PDT 2009,miss brent at praise band     no fun to not have the -PRON- lead guitarist     pout
246,Mon Apr 06 22:36:20 PDT 2009,poor john   this be what happen when -PRON- play with fruit and a microwave   seriously though have -PRON- see a doctor    xxx
247,Mon Apr 06 22:36:26 PDT 2009,miss -PRON- bff   watch home and away -PRON- remind -PRON- of -PRON- and -PRON-   -PRON-     -PRON-   shout out to u court
248,Mon Apr 06 22:36:27 PDT 2009,
249,Mon Apr 06 22:36:33 PDT 2009,new video card be doa
250,Mon Apr 06 22:36:38 PDT 2009,feel lose   naked and confused   jk   soof       no iphone for -PRON-
251,Mon Apr 06 22:36:39 PDT 2009,damn i be so late at fill this appraisal form   people have almost send -PRON-     i be so occupied in work
252,Mon Apr 06 22:36:51 PDT 2009,miss brent at praise band    no fun to not have -PRON- lead guitarist    pout
253,Mon Apr 06 22:36:52 PDT 2009,i think to much on the past   i can not change -PRON-   i deserve so much more then wat i get     but why be i still think about -PRON-   gah
254,Mon Apr 06 22:36:54 PDT 2009,have lose -PRON- ring   -PRON- s no where to be see
255,Mon Apr 06 22:37:03 PDT 2009,ooooooh    sealclap   see   i download shitload of zip folder off   chan   i have no internet money    fuck yeah alicia    mikey
256,Mon Apr 06 22:37:04 PDT 2009,be still nurse -PRON- nile but glad -PRON- be feel good   i hate when -PRON- baby be sick
257,Mon Apr 06 22:37:07 PDT 2009,be fuck to go back to ic
258,Mon Apr 06 22:37:16 PDT 2009,yoyoyo   -PRON- internet have be rude tonight   -PRON- just reconnect and i m about to go to bed
259,Mon Apr 06 22:37:22 PDT 2009,well i have uni stuff and netball   but after netbal if i ve do uni stuff -PRON- can
260,Mon Apr 06 22:37:23 PDT 2009,-PRON- too i be poor
261,Mon Apr 06 22:37:26 PDT 2009,help -PRON- forget   th april      th july
262,Mon Apr 06 22:37:36 PDT 2009,dierk bentley be comin   to columbus   oh    i wanna go so bad
263,Mon Apr 06 22:37:35 PDT 2009,i have to take -PRON- sidekick back
264,Mon Apr 06 22:37:40 PDT 2009,congrat   i m totally jealous   only wish -PRON- xm be work
265,Mon Apr 06 22:37:41 PDT 2009,gr t -PRON- face be very itchy
266,Mon Apr 06 22:37:41 PDT 2009,poor sock   luvvvvv the golden retriever    i want one sighhhh
267,Mon Apr 06 22:37:44 PDT 2009,i just see that -PRON- find that tracy girl in a piece of luggage     how fucking terrible
268,Mon Apr 06 22:37:46 PDT 2009,aaaaand the nausea be back
269,Mon Apr 06 22:37:46 PDT 2009,ooh i    m excited and not even go    be there   long love youtube
270,Mon Apr 06 22:37:49 PDT 2009,spend    hour to reach to axis bank only to find out today be holiday for mahavir jayanti   contd
271,Mon Apr 06 22:37:57 PDT 2009,i agree     the jobro do not update there s very often
272,Mon Apr 06 22:37:59 PDT 2009,-PRON- be hilarious and i link the clip from lj some time ago but when i go back just now -PRON- be a dead link
273,Mon Apr 06 22:38:04 PDT 2009,oooooooo who with    -PRON- be not neither but that s because i need to study
274,Mon Apr 06 22:38:04 PDT 2009,have not tweet nearly all day   post -PRON- website tonight   hopefully that go well   night time
275,Mon Apr 06 22:38:04 PDT 2009,
276,Mon Apr 06 22:38:08 PDT 2009,seriously need to finish these job application
277,Mon Apr 06 22:38:14 PDT 2009,-PRON- son vincas be sick   so i stay at home   just three tense day at work   and i be back on holiday with kid
